Tick, Source Station, Destination Station, Message Length
3666, S1, S3,3
3676, S2, S3,3
3685, S1, S2,2
3696, S1, S2,4
3705, S2, S3,2
3721, S1, S3,2
3731, S2, S3,3
3741, S1, S2,3
3750, S2, S3,2
3759, S1, S2,2
3767, S2, S1,1
3777, S3, S2,3
3786, S1, S2,2
3795, S2, S3,2
3810, S3, S1,1
3829, S1, S3,5
3837, S2, S1,1
3848, S3, S2,4
3866, S1, S3,4
3877, S2, S3,4
3885, S1, S2,1
3896, S2, S1,4
3915, S3, S1,5
3932, S1, S3,3
3940, S2, S3,1
3958, S1, S3,4
3968, S2, S3,3
3983, S3, S1,1
3994, S1, S2,4
4005, S2, S1,4
4016, S2, S1,4
4031, S1, S3,1
4042, S2, S3,4
4057, S1, S3,1
4065, S2, S3,1
4073, S1, S2,1
4085, S1, S2,5
4102, S3, S1,3
4120, S1, S3,4
4131, S2, S3,4
4142, S1, S2,4
4151, S2, S1,2
4159, S1, S2,1
4168, S2, S3,2
4186, S1, S3,4
4197, S2, S3,4
4205, S1, S2,1
4220, S1, S3,1
4229, S2, S1,2
4246, S3, S1,3
4254, S2, S3,1
4263, S1, S2,2
4282, S3, S1,5
4292, S2, S3,3
4309, S1, S3,3
4318, S2, S3,2
4333, S3, S1,1
4351, S1, S3,4
4363, S2, S3,5
4371, S3, S2,1
4382, S2, S3,3
4400, S1, S3,4
4410, S2, S1,3
4421, S1, S2,4
4432, S2, S1,4
4441, S1, S2,2
4449, S2, S3,1
4464, S1, S3,1
4476, S2, S3,5
4484, S1, S2,1
4502, S3, S1,4
4520, S1, S3,4
4530, S2, S1,3
4546, S1, S3,2
4555, S2, S1,2
4572, S1, S3,3
4582, S2, S3,3
4599, S1, S3,3
4608, S1, S2,2
4618, S2, S3,3
4634, S1, S3,2
4645, S2, S1,4
4654, S2, S3,2
4663, S3, S2,2
4673, S1, S2,3
4681, S2, S1,1
4691, S1, S2,3
4699, S2, S1,1
4714, S3, S1,1
4733, S1, S3,5
4743, S2, S1,3
4751, S1, S2,1
4763, S2, S1,5
4771, S1, S2,1
4783, S3, S2,5
4800, S1, S3,3
4809, S2, S1,2
4825, S1, S3,2
4834, S2, S3,2
4843, S1, S2,2
4855, S2, S1,5
4872, S1, S3,3
4881, S2, S1,2
4898, S1, S3,3
4907, S2, S3,2
4916, S3, S2,2
4924, S1, S2,1
4935, S2, S1,4
4946, S1, S2,4
4957, S2, S1,4
4975, S1, S3,4
4983, S3, S2,1
5001, S1, S3,4
5009, S2, S3,1
5019, S1, S2,3
5029, S2, S1,3
5039, S1, S2,3
5049, S2, S1,3
5065, S1, S3,2
5077, S1, S2,5
5085, S2, S3,1
5103, S1, S3,4
5114, S2, S3,4
5126, S3, S2,5
5145, S1, S3,5
5153, S2, S1,1
5168, S1, S3,1
5176, S1, S2,1
5186, S2, S3,3
5196, S1, S2,3
5207, S2, S3,4
5224, S3, S1,3
5243, S1, S3,5
5262, S1, S3,5
5270, S2, S3,1
5288, S1, S3,4
5298, S1, S2,3
5310, S2, S3,5
5322, S1, S2,5
5332, S2, S3,3
5342, S1, S2,3
5352, S2, S3,3
5367, S1, S3,1
5376, S2, S3,2
5384, S3, S2,1
5396, S2, S1,5
5408, S3, S2,5
5419, S1, S2,4
5427, S2, S1,1
5436, S3, S2,2
5455, S1, S3,5
5467, S2, S1,5
5475, S1, S2,1
5486, S3, S2,4
5502, S1, S3,2
5518, S3, S1,2
5529, S1, S2,4
5540, S2, S3,4
5549, S1, S2,2
5558, S3, S2,2
5575, S1, S3,3
5587, S2, S1,5
5603, S1, S3,2
5612, S2, S1,2
5627, S1, S3,1
5637, S2, S1,3
5646, S1, S2,2
5656, S2, S1,3
5675, S1, S3,5
